gvkey,datadate,fyear,indfmt,tic,conm,curcd,at,ci,emp,lt,txpd,xopr,costat,mkvalt,prcc_f,city,state
13683,20161231,2016,INDL,TEF,TELEFONICA SA,USD,130465.983,6054.738,127.323,100514.131,684.825,37119.826,A,,9.2,Madrid,
13684,20161231,2016,INDL,LINT.CM,LIBERTY INTERACTIVE -CONSOL,USD,20355,1189,21.08,13494,204,8805,A,,,Englewood,CO
13695,20161231,2016,INDL,MDIV,FIRST TR ETF IV MULTI ASSET,USD,,,,,,,A,,19.11,Wheaton,IL
13696,20161231,2016,INDL,TDIV,FIRST TR ETF IV NASDAQ TECH,USD,,,,,,,A,,29.58,Wheaton,IL
13700,20161231,2016,INDL,XRAY,DENTSPLY SIRONA INC,USD,11656.1,318.5,15.7,3530.2,112.3,2965.8,A,13283.673,57.73,York,PA
13709,20161231,2016,INDL,IEP,ICAHN ENTERPRISES LP,USD,33335,-2347,90.98,25318,87,15905,A,8672.8807,59.92,New York,NY
13710,20161231,2016,INDL,FUN,CEDAR FAIR  -LP,USD,1973.181,177.338,45.6,1912.662,44.502,826.28,A,3608.1042,64.2,Sandusky,OH
13712,20161231,2016,INDL,6685B,ALERIS CORP,USD,2389.9,,,2173.3,,2489.6,A,,,Cleveland,OH
13714,20161231,2016,INDL,CBS,CBS CORP,USD,24238,1264,21.27,20549,373,10080,A,26256.8804,63.62,New York,NY
13721,20161231,2016,INDL,ZTS,ZOETIS INC,USD,7649,840,9,6150,408,3201,A,26382.5282,53.53,Parsippany,NJ
13733,20161231,2016,INDL,PMD,PSYCHEMEDICS CORP,USD,25.032,,,9.425,,28.87,A,134.7528,24.68,Acton,MA
13736,20161231,2016,INDL,BBRC,COLUMBIA BEYOND BRICS ETF,USD,,,,,,,A,,14.85,Boston,MA
13748,20161231,2016,INDL,EMDD,COLUMBIA EM STR OPPS ETF,USD,,,,,,,A,,16.88,Boston,MA
13765,20160630,2016,INDL,NAII,NATURAL ALTERNATIVES,USD,74.175,9.632,0.285,20.449,3.359,100.171,A,75.8338,11.04,Carlsbad,CA
13786,20161231,2016,INDL,HRTX,HERON THERAPEUTICS INC,USD,67.482,-173.12,0.139,88.733,,171.095,A,515.5505,13.1,San Diego,CA
13789,20161231,2016,INDL,AIRM,AIR METHODS CORP,USD,1789.265,97.796,5.133,1216.723,41.347,884.239,A,1159.3719,31.85,Englewood,CO
13794,20160630,2016,INDL,KOOL,CESCA THERAPEUTICS INC,USD,49.899,-18.62,0.089,17.626,,21.536,A,8.8222,2.93,Rancho Cordova,CA
13800,20161231,2016,INDL,AFAM,ALMOST FAMILY INC,USD,658.712,18.172,15.5,354.532,2.549,572.325,A,458.0667,44.1,Louisville,KY
13824,20160930,2016,INDL,FICO,FAIR ISAAC CORP,USD,1221.052,83.152,3.088,774.224,10.588,680.131,A,3854.1917,124.59,San Jose,CA
13835,20161231,2016,INDL,RGLS,REGULUS THERAPEUTICS INC,USD,100.661,-81.826,0.097,44.586,0.001,80.42,A,119.0813,2.25,San Diego,CA
13837,20161231,2016,INDL,XHD.,ISHARES US HI DIV EQ IDX ETF,CAD,,,,,,,A,,26.87,Toronto,ON
13839,20161231,2016,INDL,CBM,CAMBREX CORP,USD,611.865,71.607,1.295,206.438,18.21,335.628,A,1744.9588,53.95,East Rutherford,NJ
13861,20161231,2016,INDL,TTS,TILE SHOP HOLDINGS INC,USD,265.273,18.428,1.448,126.374,15.162,260.584,A,1008.9169,19.55,Plymouth,MN
13871,20161231,2016,INDL,SMLP,SUMMIT MIDSTREAM PARTNERS LP,USD,3115.179,-38.187,0,1945.506,0,175.165,A,1813.5917,25.15,The Woodlands,TX
13886,20161231,2016,INDL,PTB.,POWERSHARESTACTICAL BOND ETF,CAD,,,,,,,A,,19.02,Toronto,ON
13888,20161231,2016,INDL,WMIH,WMIH CORP,USD,736.19,201.7,0.006,39.841,,6.68,A,319.8906,1.55,Seattle,WA
13906,20160930,2016,INDL,JOUT,JOHNSON OUTDOORS INC  -CL A,USD,310.279,12.218,1.2,102.783,14.496,392.05,A,363.3363,36.37,Racine,WI
13935,20161231,2016,INDL,BTT,BLACKROCK MUNI 30 TARG TERM,USD,,,,,,,A,,21.83,Wilmington,DE
13948,20161231,2016,INDL,CMS1,CONSUMERS ENERGY CO,USD,19946,619,7.366,14007,50,4027,A,,,Jackson,MI
13962,20160731,2016,INDL,FGP,FERRELLGAS PARTNERS  -LP,USD,1683.306,-643.277,0,2335.086,0.777,1736.889,A,1928.699,19.68,Overland Park,KS
13963,20161231,2016,INDL,VGR,VECTOR GROUP LTD,USD,1404.035,74.334,1.425,1657.307,46.811,1009.687,A,2904.7849,22.74,Miami,FL
13970,20161231,2016,INDL,TVAGF,TVA GROUP INC  -CL B,CAD,586.608,-31.207,,308.383,,545.465,A,140.4195,3.25,Montreal,QC
13971,20161231,2016,INDL,MEOH,METHANEX CORP,USD,4556.663,-41.92,1.275,2751.313,5.241,1774.429,A,3934.2912,43.8,Vancouver,BC
13988,20161231,2016,INDL,SCHW,SCHWAB (CHARLES) CORP,USD,223383,1860,16.2,206962,991,4286,A,52603.6425,39.47,San Francisco,CA
13988,20161231,2016,FS,SCHW,SCHWAB (CHARLES) CORP,USD,223383,,16.2,206962,,,A,52603.6425,39.47,San Francisco,CA
13992,20161231,2016,INDL,EXETF,EXTENDICARE INC,CAD,988.617,37.844,23.8,813.858,16.637,966.638,A,876.1979,9.88,Markham,ON
13994,20161231,2016,INDL,HUSKF,HUSKY ENERGY INC,CAD,32260,770,5.15,14633,-3,10551,A,16378.8131,16.29,Calgary,AB
14018,20160731,2016,INDL,3QZMRE,QUARTZ MOUNTAIN RESOURCES,CAD,0.313,0.093,0,3.18,,0.322,A,1.172,0.04,Vancouver,BC
14027,20161231,2016,INDL,CLH,CLEAN HARBORS INC,USD,3681.92,0.693,12.4,2597.679,29.255,2328.772,A,3188.6337,55.65,Norwell,MA
14042,20161231,2016,INDL,CFPZF,CANFOR CORP,CAD,3277.1,155.1,6.257,1538.6,29.9,3696.6,A,2027.9324,15.27,Vancouver,BC
14043,20161231,2016,INDL,PCAR1,PACCAR FINANCIAL CORP,USD,8330.5,90.6,0.451,7157.5,1.5,124.6,A,,,Bellevue,WA
14062,20161231,2016,INDL,CCDBF,CCL INDUSTRIES  -CL B,CAD,4678.841,224.732,19,2903.641,124.829,3182.086,A,9187.7995,263.8,Toronto,ON
